@relation 'pancan_weka_ready-weka.filters.unsupervised.attribute.Remove-V-R7965,18382,17110,5408,6594,18747,8350,6817,5578,5577,7993,7897,12569,7966,15898,17905,11394,7422,6837,8004,3542,16373,12978,11125,2779,16343,7793,9178,17907,629,11911,6585,17802,16450,11260,10842,2640,4225,11551,8777,6831,204,15804,2130,7933,952,5633,18336,7955,12996,9185,9653,8014,6595,149,18811,15474,8005,18754,15913,90,6877,2319,3541,16339,8003,17586,776,17739,3922,19607,10291,5753,18217,15901,1510,224,5658,18291,5989,2168,2074,743,12079,5022,8006,1059,6927,19160,2775,13162,3731,1859,18637,14428,17317,3473,3462,5626,13508,20532'

@attribute gene_7964 numeric
@attribute gene_18381 numeric
@attribute gene_17109 numeric
@attribute gene_5407 numeric
@attribute gene_6593 numeric
@attribute gene_18746 numeric
@attribute gene_8349 numeric
@attribute gene_6816 numeric
@attribute gene_5577 numeric
@attribute gene_5576 numeric
@attribute gene_7992 numeric
@attribute gene_7896 numeric
@attribute gene_12568 numeric
@attribute gene_7965 numeric
@attribute gene_15897 numeric
@attribute gene_17904 numeric
@attribute gene_11393 numeric
@attribute gene_7421 numeric
@attribute gene_6836 numeric
@attribute gene_8003 numeric
@attribute gene_3541 numeric
@attribute gene_16372 numeric
@attribute gene_12977 numeric
@attribute gene_11124 numeric
@attribute gene_2778 numeric
@attribute gene_16342 numeric
@attribute gene_7792 numeric
@attribute gene_9177 numeric
@attribute gene_17906 numeric
@attribute gene_628 numeric
@attribute gene_11910 numeric
@attribute gene_6584 numeric
@attribute gene_17801 numeric
@attribute gene_16449 numeric
@attribute gene_11259 numeric
@attribute gene_10841 numeric
@attribute gene_2639 numeric
@attribute gene_4224 numeric
@attribute gene_11550 numeric
@attribute gene_8776 numeric
@attribute gene_6830 numeric
@attribute gene_203 numeric
@attribute gene_15803 numeric
@attribute gene_2129 numeric
@attribute gene_7932 numeric
@attribute gene_951 numeric
@attribute gene_5632 numeric
@attribute gene_18335 numeric
@attribute gene_7954 numeric
@attribute gene_12995 numeric
@attribute gene_9184 numeric
@attribute gene_9652 numeric
@attribute gene_8013 numeric
@attribute gene_6594 numeric
@attribute gene_148 numeric
@attribute gene_18810 numeric
@attribute gene_15473 numeric
@attribute gene_8004 numeric
@attribute gene_18753 numeric
@attribute gene_15912 numeric
@attribute gene_89 numeric
@attribute gene_6876 numeric
@attribute gene_2318 numeric
@attribute gene_3540 numeric
@attribute gene_16338 numeric
@attribute gene_8002 numeric
@attribute gene_17585 numeric
@attribute gene_775 numeric
@attribute gene_17738 numeric
@attribute gene_3921 numeric
@attribute gene_19606 numeric
@attribute gene_10290 numeric
@attribute gene_5752 numeric
@attribute gene_18216 numeric
@attribute gene_15900 numeric
@attribute gene_1509 numeric
@attribute gene_223 numeric
@attribute gene_5657 numeric
@attribute gene_18290 numeric
@attribute gene_5988 numeric
@attribute gene_2167 numeric
@attribute gene_2073 numeric
@attribute gene_742 numeric
@attribute gene_12078 numeric
@attribute gene_5021 numeric
@attribute gene_8005 numeric
@attribute gene_1058 numeric
@attribute gene_6926 numeric
@attribute gene_19159 numeric
@attribute gene_2774 numeric
@attribute gene_13161 numeric
@attribute gene_3730 numeric
@attribute gene_1858 numeric
@attribute gene_18636 numeric
@attribute gene_14427 numeric
@attribute gene_17316 numeric
@attribute gene_3472 numeric
@attribute gene_3461 numeric
@attribute gene_5625 numeric
@attribute gene_13507 numeric
@attribute Class {PRAD,LUAD,BRCA,KIRC,COAD}

@data
5.248778,15.316681,14.271835,7.974615,12.537182,7.689285,7.455015,4.479011,5.997457,5.939029,11.607335,1.334282,11.383807,0,9.595069,8.547924,6.351165,10.773288,5.84032,10.390083,5.788312,10.314527,4.267356,7.064743,6.479701,2.169733,4.511449,14.126124,8.91679,4.063658,13.764913,14.801683,8.803453,2.824951,5.692528,3.340391,0,13.281272,3.340391,6.520122,6.46321,15.67308,7.827768,3.266292,10.390631,10.077804,13.049181,9.335618,7.429775,13.186662,6.720744,5.748037,7.896932,1.010279,9.920593,11.747992,4.663544,8.977563,13.170168,10.858509,13.230181,8.4404,2.476226,4.997134,12.457209,10.003476,12.588335,10.087914,9.109253,0.591871,10.882658,11.297197,6.180088,7.328711,7.020347,5.84032,3.188164,11.295603,5.619994,4.01923,12.854674,7.02597,0.591871,2.185898,4.54318,8.457155,2.92467,1.598651,1.598651,9.34127,11.481976,11.445449,0,0,10.231161,9.293099,7.450832,0,10.305891,11.684052,PRAD
3.890826,9.975275,6.543954,3.137061,10.56312,8.292989,0.811142,2.094168,0,0.587845,5.593554,6.090792,0,0.587845,14.001091,8.042163,7.623435,10.343597,11.688801,0,13.059513,6.451617,0,9.013635,9.966954,1.465034,3.137061,0.811142,9.576717,4.137553,2.328951,6.222975,5.374883,6.570923,9.828943,8.05995,4.625481,8.745153,14.644814,8.061306,1.32717,9.18493,13.422262,0.811142,14.782215,4.137553,12.917305,7.307929,10.677209,0,0,1.465034,1.32717,4.137553,4.256241,3.622766,0,0,1.913339,7.082852,8.885272,6.484409,2.592278,6.736605,10.539663,3.962401,9.191772,10.53331,9.265556,0.587845,0.811142,0,8.382698,10.123811,10.100859,2.094168,3.651924,9.278979,7.135412,7.729831,12.034689,8.614231,1.465034,0.323658,1.706508,0,6.409549,4.623124,0.323658,5.468007,4.095722,1.004394,0,0,9.871788,3.434228,8.458927,0,10.889306,11.134343,LUAD
1.074163,15.387896,13.131507,4.947105,13.962652,10.833428,0.452595,4.306933,0,0,10.696611,3.18696,8.539442,2.228018,8.172052,6.829837,10.090959,12.709913,4.136044,3.403377,5.155361,9.306825,0.796598,6.434471,6.19426,2.738725,1.306846,10.809037,8.052997,0.452595,14.747134,13.046655,1.074163,0.452595,6.08886,1.981122,1.50716,12.74596,0.796598,6.024982,0.796598,13.804736,9.255562,6.428312,11.01614,9.67717,12.981102,8.848247,11.119259,3.000252,6.875829,2.533663,10.172915,1.306846,11.20913,6.834509,1.074163,4.359676,10.686325,12.486259,13.892087,3.352236,0,7.009739,13.239287,9.98268,12.616411,10.962918,10.362919,0.796598,10.021841,9.046259,2.109829,5.155361,3.403377,0,0.452595,10.012317,4.136044,2.785739,13.600412,7.202535,1.306846,0,4.042355,5.622717,0.796598,2.438799,0,10.015401,10.942258,5.975149,0,0.452595,10.549361,9.555277,9.594315,1.981122,11.798075,11.371428,PRAD
2.650029,15.093566,14.174489,7.073392,13.702346,9.562801,3.006442,1.637239,0.434882,0.768587,12.17916,0.434882,14.491703,1.267356,11.765829,10.370775,5.795128,12.493828,4.32169,9.145492,5.983377,14.117408,2.56684,5.232131,4.998083,7.369833,4.61882,13.774674,9.608379,0.434882,14.679689,14.804726,5.785961,0.434882,6.061446,1.931418,0.434882,13.060971,1.637239,5.272079,3.34291,17.472493,6.909977,2.56684,9.680115,9.919494,13.328773,10.706151,6.646808,14.465586,5.524474,2.56684,9.323969,0,10.286327,11.646788,1.039419,7.852192,12.265703,11.300112,14.982962,5.967242,1.931418,5.445151,12.986695,10.050651,12.24201,10.616861,11.324456,0,10.890036,8.974426,16.445607,5.934425,5.105175,4.811872,2.728704,10.028472,3.844787,3.068258,13.190559,8.331741,1.039419,0.768587,2.728704,9.122911,1.931418,2.874246,1.791814,11.004256,9.223123,11.099617,0,0.434882,9.903685,9.661986,6.076566,2.384464,10.744817,11.166063,PRAD
0,9.514874,12.263791,12.870781,13.343505,14.439409,1.095654,3.208502,4.262538,5.168542,9.072961,0,3.785791,0.649386,4.603502,11.262553,11.614167,11.726508,13.389712,2.858777,8.349648,6.291349,5.23539,10.489697,6.945292,2.231279,0.360982,5.93701,9.990898,0,7.919239,6.638691,1.435949,2.801097,9.459444,2.612801,0,11.240207,1.095654,6.809299,4.807659,4.05615,9.517673,4.10463,10.868853,5.330185,11.110627,8.915407,7.946099,0.360982,2.96763,10.828644,4.196969,0,1.095654,1.94212,6.058901,4.424089,8.6545,9.649136,6.47775,13.636772,0,8.077916,15.822583,6.275553,12.305871,10.391297,13.455777,1.095654,10.40429,8.617387,7.458021,7.946099,3.163434,5.012122,1.580097,9.965213,5.9303,7.405771,9.913063,9.977938,0,0,3.561008,3.755742,5.983124,1.435949,0.360982,8.67772,7.647883,4.345574,0.360982,0.649386,11.626804,0.889707,8.962205,1.095654,9.336692,10.741981,BRCA
1.19415,15.378041,13.593391,8.270795,13.295152,8.81141,7.443242,6.183975,3.324335,4.250469,9.85532,0.894294,13.793187,0,10.286766,7.654743,6.258687,11.604122,5.015422,10.353621,0.51541,13.631814,4.433607,5.839136,6.476067,3.830752,1.44228,14.520846,7.935937,1.653885,14.687212,14.446547,9.368375,0,3.702912,4.936704,0,12.808224,2.148934,6.149485,3.12575,17.090433,8.300572,2.002018,10.463054,11.512953,12.970602,10.2713,7.963503,12.293564,7.792439,6.183975,9.645504,0.894294,9.502524,10.343164,4.217549,9.446806,11.199807,11.351171,14.711403,4.670954,2.621149,0,13.075795,11.549578,12.833394,10.141864,10.404322,2.621149,7.396648,8.380816,6.012269,7.894891,5.428883,6.926628,4.375109,10.70967,6.640314,4.250469,13.029279,8.36399,0.51541,2.976345,4.282655,9.070687,4.314131,2.404276,0,9.451238,12.680716,8.913853,0,0,9.794539,10.240398,8.893159,1.19415,10.028417,11.448137,PRAD
11.834084,4.723143,1.476796,11.800216,2.561717,7.930607,3.753102,9.079223,10.642025,9.326668,7.435387,8.753795,7.323388,5.009356,1.877744,9.573712,2.191152,8.24871,7.623267,5.248079,0,9.577085,11.2178,7.188787,8.780369,10.090126,4.053468,0,5.248079,5.645053,5.160876,8.978264,9.613668,6.885745,5.732332,7.882356,10.05764,8.951229,5.924608,10.435524,12.204745,4.091691,8.802148,9.244219,7.806898,9.35837,11.26822,6.112954,9.737129,0,0,1.691177,7.19319,5.068056,5.619114,7.439099,9.368138,7.714898,5.720183,8.438646,7.227934,9.073266,0.919683,0,9.521284,9.027162,4.091691,11.883438,8.799262,1.877744,5.872755,0,6.140568,12.316273,5.720183,9.756591,7.511381,3.667109,11.52462,8.877931,7.890514,5.99689,0,7.303169,7.636255,2.191152,9.864025,3.80003,9.926167,0.531868,9.765487,0,9.078033,2.561717,5.196391,0.531868,11.424513,3.100826,3.704584,7.464815,KIRC
6.545968,13.276129,13.537012,8.454073,12.208429,9.774123,4.95869,4.421075,4.763173,6.095068,10.840243,2.196261,8.930507,0,11.806469,7.799502,5.656628,10.893931,5.736361,8.628777,4.067381,13.108448,4.371991,5.968706,7.790192,3.36677,1.65526,14.137912,7.627198,0,13.189476,11.076154,11.152849,0.441802,4.097889,4.837373,1.481041,11.469555,2.500241,8.133543,6.175936,16.406242,8.433289,1.65526,9.58934,10.939124,10.642304,9.533092,7.749936,13.032378,7.204982,5.755625,8.126162,0.779554,9.216872,11.797199,6.168768,9.235859,10.280272,9.360619,12.759622,5.528106,0.779554,2.500241,12.000739,10.308669,12.519992,11.139391,9.933264,0,10.134208,9.012865,5.726632,8.535734,4.890622,8.086778,4.004358,9.641911,7.034095,2.751185,11.735933,6.770895,0,2.405856,5.87493,8.960908,2.304861,0.779554,0,9.943275,10.010458,11.197112,0,0,8.008647,8.369078,9.041593,0,9.2427,9.806809,PRAD
0,4.067604,3.489941,12.194458,5.072183,13.449303,0.352307,4.868677,3.943406,5.291836,7.921805,1.074848,1.683921,0,0.635336,11.713378,5.281609,10.27581,9.784267,1.683921,3.217045,4.114442,0,8.533447,6.88279,2.269093,0.352307,5.380726,9.97002,0,7.202956,7.662918,0,6.964953,7.432826,3.74933,3.173463,9.066816,2.015391,7.156154,6.007805,2.645217,9.456398,0.635336,11.63453,6.841634,13.120222,10.152196,9.679148,1.074848,2.579977,6.824131,4.386604,0,1.074848,1.913148,5.207944,2.880176,7.826568,7.409544,8.571866,11.602439,0,0.871765,11.73268,5.779835,10.715293,11.542292,9.815604,1.252839,10.896325,0.635336,6.671973,8.49983,2.364404,7.812434,4.159799,7.696008,6.740752,7.880061,6.48414,8.689631,0.352307,0,6.358453,0.352307,4.478978,1.411318,0.635336,2.439889,7.697934,2.364404,0.352307,1.554049,11.544163,1.683921,6.429626,0,10.932399,9.109345,BRCA
8.650973,9.168444,13.141944,6.74517,14.304758,8.528954,8.139608,3.670829,2.77989,3.939593,11.412406,0,5.640962,0,9.711089,8.34752,5.326243,12.749059,3.514993,11.036915,0,11.531903,0.724214,4.613054,5.417103,1.204141,1.204141,12.713088,9.475077,2.476122,15.063694,12.664221,8.166048,0,2.635987,0,0,11.650634,1.204141,4.859766,2.090853,13.378403,6.994206,0,9.653716,10.315546,11.686015,10.249078,6.527938,3.742858,7.828092,3.430285,9.350933,1.204141,5.801358,5.732261,5.152013,9.132024,11.416544,12.080671,13.232785,2.635987,1.563646,0,14.523709,11.844553,12.482372,9.652687,10.183462,0.724214,12.117432,7.148029,4.613054,5.801358,2.910733,6.24754,1.204141,9.518047,3.670829,3.244278,12.992639,8.116068,0.724214,0,3.939593,9.944734,1.563646,0.724214,0,11.228241,12.545884,9.733361,0,0,9.529548,6.607264,7.494248,1.563646,10.914094,10.922354,PRAD
